Date,Open,High,Low,Close,Change,%Change,Volume
10/2/13,125.37,127.81,125.34,127.06,2.47,1.98%,11997200
10/3/13,126.77,127.69,126.22,127.18,0.12,0.09%,11632900
10/4/13,127.05,127.15,126,126.53,-0.65,-0.51%,6924900
10/7/13,127.25,128.33,127.12,127.64,1.11,0.88%,6737800
10/8/13,127.79,128.45,127.21,127.4,-0.24,-0.19%,6999700
10/9/13,126.21,126.89,124.97,126.11,-1.29,-1.01%,10707700
10/10/13,125.34,125.83,124.1,124.27,-1.84,-1.46%,10523500
10/11/13,122.37,122.81,121.85,122.6,-1.67,-1.34%,15972600
10/14/13,123.9,124.24,122.81,122.83,0.23,0.19%,6118200
10/15/13,122.28,124.36,122.22,123.73,0.9,0.73%,8384100
10/16/13,123.52,123.89,122.51,123.54,-0.19,-0.15%,8525200
10/17/13,127.01,127.86,126.81,127.42,3.88,3.14%,11785000
10/18/13,126.87,127.33,126.6,126.85,-0.57,-0.45%,5350400
10/21/13,127.13,127.34,126.79,126.98,0.13,0.10%,3395100
10/22/13,128.25,129.81,128.22,129.34,2.36,1.86%,8852500
10/23/13,128.55,129.09,128.35,128.69,-0.65,-0.50%,5099100
10/24/13,129.41,130.53,129.41,129.9,1.21,0.94%,10225700
10/25/13,129.53,130.92,129.46,130.46,0.56,0.43%,8771000
10/28/13,130.39,131.44,130.1,130.56,0.1,0.08%,6817400
10/29/13,130.16,130.59,129.57,129.77,-0.79,-0.61%,5334500
10/30/13,130.83,131.22,128.81,129.6,-0.17,-0.13%,8895900
10/31/13,128.04,128.49,127.3,127.74,-1.86,-1.44%,7740500
11/1/13,126.86,127.17,126.05,126.95,-0.79,-0.62%,9571800
11/4/13,127.18,127.52,126.74,126.81,-0.14,-0.11%,3819200
11/5/13,126.71,126.86,126,126.56,-0.25,-0.20%,4942300
11/6/13,127.11,127.36,126.92,127.2,0.64,0.51%,3544900
11/7/13,126.14,126.85,125.86,126.16,-1.04,-0.82%,7700100
11/8/13,124.46,124.46,123.62,124.28,-1.88,-1.49%,8427200
11/11/13,123.95,123.97,123.66,123.87,-0.41,-0.33%,3277600
11/12/13,123.51,123.87,121.73,122.45,-1.42,-1.15%,7705600
11/13/13,122.97,123.24,122.39,122.85,0.4,0.33%,5966900
11/14/13,123.92,124.91,123.88,124.27,1.42,1.16%,7669600
